U1132843960001980000906499800200000123123123AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL        
A220250411DINHEIRO                 1000000000400000000000000000000000000
A220250414DINHEIRO                 1000000001500000000000000000000000000
A220250415DINHEIRO                 1000000000600000000000000000000000000
A220250512DINHEIRO                 1000000002300000000000000000000000000
A220250514DINHEIRO                 1000000003700000000000000000000000000
A220250515DINHEIRO                 1000000003900000000000000000000000000
A220250520DINHEIRO                 1000000010500000000000000000000000000
A220250529DINHEIRO                 1000000000200000000000000000000000000
P213284396000198000000000000010000000380893212,4 D (CAMPEON STOCKTON) 20 LT                    LT    ATN180000000000000100
P213284396000198000000000000020000000380893222,4 D AMINA 840 20LT                              LT    ATT180000000000000100
P213284396000198000000000000030000000380893222,4 D CROP 806 SL 20 LT                           LT    ATN180000000000000100
P213284396000198000000000000040000000380893222,4 D NORTOX - 5LT                                LT    ATN180000000000000100
P213284396000198000000000000050000000380893212,4 D NORTOX 20LT                                 LT    ATN180000000000000100
P213284396000198000000000000060000000380893222,4-D TECNOMYL -20LT                              LT    ATN180000000000000100
P21328439600019800000000000007000000038089299ABACUS HC 01LT                                    LT    ATN180000000000000100
P21328439600019800000000000008000000038089299ABACUS HC 05LT                                    LT    ATN180000000000000100
P21328439600019800000000000009000000038089993ABAMECTIN 18 EC NORTOX 01LT                       LT    ATN180000000000000100
P21328439600019800000000000010000000084833021EMERSON TESTE                                     LT    ATT190000000000000100
P21328439600019800000000000011000000038089993ABAMECTIN 72 EC NORTOX 01LT TESTE LUANA           LT    ATN180000000000000100
P21328439600019800000000000012000000038089993ABAMECTIN 72 EC NORTOX 05LT                       LT    ATT190000000000000100
P21328439600019800000000000013000000038089993ABAMEX 01 LT                                      LT    ATN180000000000000100
P21328439600019800000000000014000000038089199ABAMEX 05LT TEST IMPLANTA EMERSON                 LT    ATT190000000000000300
P21328439600019800000000000015000000038089199ACEFATO NORTOX 5KG                                KG    ATN180000000000000100
P21328439600019800000000000016000000038089199ACETAMIPRID NORTOX  PC 5KG                        KG    ATN180000000000000100
P21328439600019800000000000017000000038089199ACETAMIPRID PC 1KG                                KG    ATN180000000000000100
P21328439600019800000000000018000000031029000ACQUAMAX POWER- 01LT                              LT    ATN180000000000000100
